soc_2018_harmonized,occ_title,employment,median_wage,growth_profile_score,aioe_score
13-1081,Logisticians,235640.0,80880.0,2.7070105298150997,1.297303
17-2171,Petroleum Engineers,18970.0,141280.0,2.705473221052925,1.247779
19-1021,Biochemists and Biophysicists,34520.0,103650.0,2.70512156617431,0.9060509
25-2057,"Special Education Teachers, Middle School",95330.0,64880.0,2.7030416524313083,
17-2151,"Mining and Geological Engineers, Including Mining Safety Engineers",6770.0,101020.0,2.7016343751137653,1.34695
11-9041,Architectural and Engineering Managers,210340.0,167740.0,2.6946394974360057,0.8370105
19-1023,Zoologists and Wildlife Biologists,16920.0,72860.0,2.69081086283371,0.3175953
11-9071,Gambling Managers,4620.0,85580.0,2.6902112456209593,0.8299207
19-3033,Clinical and Counseling Psychologists,72190.0,95830.0,2.6838699954075507,
29-1011,Chiropractors,37630.0,79000.0,2.6819108747207068,-0.1911757
19-5012,Occupational Health and Safety Technicians,31450.0,58440.0,2.6802463624548634,
19-3091,Anthropologists and Archeologists,8070.0,64910.0,2.6797143289597734,0.6965665
19-3094,Political Scientists,5950.0,139380.0,2.6729510906959515,1.418863
25-4011,Archivists,7050.0,61570.0,2.6728225128780423,0.6765602
11-3013,Facilities Managers,141090.0,104690.0,2.6721484625089356,
19-1029,"Biological Scientists, All Other",59710.0,93330.0,2.6676882563566373,1.010193
39-6012,Concierges,44200.0,37320.0,2.6645686976622422,0.855832
13-1199,"Business Operations Specialists, All Other",1128200.0,81270.0,2.660454435999534,1.047687
21-1092,Probation Officers and Correctional Treatment Specialists,86820.0,64520.0,2.660176074532371,0.5272448
25-1122,"Communications Teachers, Postsecondary",29260.0,77800.0,2.6562492045431982,1.347435
25-1054,"Physics Teachers, Postsecondary",13590.0,97360.0,2.656196112660503,1.044191
29-1031,Dietitians and Nutritionists,76570.0,73850.0,2.6554210255396407,1.342809
19-1031,Conservation Scientists,25590.0,67950.0,2.6535090189027017,0.0690313
29-1129,"Therapists, All Other",19320.0,65010.0,2.6522534582716184,
19-1013,Soil and Plant Scientists,16600.0,71410.0,2.651935975143995,0.6320696
17-2111,"Health and Safety Engineers, Except Mining Safety Engineers and Inspectors",23220.0,109660.0,2.650856672522323,0.9948935
25-1126,"Philosophy and Religion Teachers, Postsecondary",20840.0,78050.0,2.6474684254215686,1.363522
29-1125,Recreational Therapists,15060.0,60280.0,2.6469241073931755,0.2190109
11-3012,Administrative Services Managers,254140.0,108390.0,2.645193751639003,
15-1299,"Computer Occupations, All Other",439380.0,108970.0,2.6450602573650173,
27-2032,Choreographers,3430.0,55600.0,2.6435647148510606,-1.575769
11-3051,Industrial Production Managers,234380.0,121440.0,2.6426024433919397,0.5086878
25-1064,"Geography Teachers, Postsecondary",3290.0,86730.0,2.640741854426119,1.318899
13-2061,Financial Examiners,62830.0,90400.0,2.639735465991169,1.526064
13-1051,Cost Estimators,219530.0,77070.0,2.6391272574814666,1.367669
17-2131,Materials Engineers,22770.0,108310.0,2.6387622184852915,1.037278
11-9121,Natural Sciences Managers,100870.0,161180.0,2.6335639527298977,1.327906
19-2099,"Physical Scientists, All Other",22580.0,117960.0,2.630908874645273,1.140157
15-2031,Operations Research Analysts,107760.0,91290.0,2.62818001683073,1.40002
19-2042,"Geoscientists, Except Hydrologists and Geographers",22510.0,99240.0,2.622087975522589,0.7143481
33-3052,Transit and Railroad Police,3000.0,82320.0,2.6218388592037947,-0.8205515
25-2031,"Secondary School Teachers, Except Special and Career/Technical Education",1072540.0,64580.0,2.620482061504307,1.191325
33-3051,Police and Sheriff's Patrol Officers,666990.0,76290.0,2.6192979032951667,-0.6681123
39-4031,"Morticians, Undertakers, and Funeral Arrangers",25700.0,49800.0,2.6178199698267304,-0.1903759
29-1221,"Pediatricians, General",42960.0,210130.0,2.6165385061297446,
25-2023,"Career/Technical Education Teachers, Middle School",14200.0,63620.0,2.6121857656959726,0.5199191
13-2099,"Financial Specialists, All Other",127450.0,80190.0,2.6119288486258725,1.361362
25-1053,"Environmental Science Teachers, Postsecondary",7130.0,87710.0,2.6108076718636517,1.347519
37-1012,"First-Line Supervisors of Landscaping, Lawn Service, and Groundskeeping Workers",124130.0,56170.0,2.60795591335702,-0.5548871
19-2041,"Environmental Scientists and Specialists, Including Health",84930.0,80060.0,2.6066529761187742,1.014113
29-1213,Dermatologists,10080.0,,2.6031587781304535,
21-2011,Clergy,58080.0,60820.0,2.6022571913625723,1.282559
13-1075,Labor Relations Specialists,64590.0,93500.0,2.598081340825906,1.334834
39-9041,Residential Advisors,82810.0,39180.0,2.5979395268555447,0.4746119
29-1123,Physical Therapists,248630.0,101020.0,2.594601988406927,-0.3581922
29-1127,Speech-Language Pathologists,178790.0,95410.0,2.5943233440977114,1.146267
21-1093,Social and Human Service Assistants,424220.0,45120.0,2.5934403119635427,0.4652255
25-1065,"Political Science Teachers, Postsecondary",17170.0,94680.0,2.590089864461227,1.368397
31-9092,Medical Assistants,793460.0,44200.0,2.5895237829021505,0.1497917
19-2043,Hydrologists,5720.0,92060.0,2.587414693452948,0.6405071
29-1224,Radiologists,26290.0,,2.5836265531675378,
33-3012,Correctional Officers and Jailers,365380.0,57970.0,2.5834004939072472,-0.8875365
17-2071,Electrical Engineers,188790.0,111910.0,2.5833772419848704,1.126725
27-4021,Photographers,51230.0,42520.0,2.5812617179845376,-0.1680973
13-1041,Compliance Officers,397770.0,78420.0,2.579860825297771,0.6981205
15-2011,Actuaries,28340.0,125770.0,2.579262505510203,1.516474
17-2041,Chemical Engineers,20330.0,121860.0,2.5785076076546942,1.341336
29-1122,Occupational Therapists,152280.0,98340.0,2.5775285236829997,0.1151615
29-1299,"Healthcare Diagnosing or Treating Practitioners, All Other",30870.0,113730.0,2.5759198563486763,
25-2021,"Elementary School Teachers, Except Special Education",1393310.0,62340.0,2.57488713979587,0.8869491
17-2161,Nuclear Engineers,14740.0,127520.0,2.574158866460982,1.303009
15-2041,Statisticians,29800.0,103300.0,2.5723536420279904,1.382724
31-9097,Phlebotomists,138880.0,43660.0,2.570863265874068,-0.2778475
15-1211,Computer Systems Analysts,497800.0,103790.0,2.5682728504849828,
33-2021,Fire Inspectors and Investigators,14050.0,78060.0,2.565461117977596,0.062793
49-9095,Manufactured Building and Mobile Home Installers,2610.0,41080.0,2.5650580858657714,-1.414062
29-2051,Dietetic Technicians,29950.0,37040.0,2.564574554595304,-0.1260282
21-1013,Marriage and Family Therapists,65870.0,63780.0,2.562189097189497,1.367434
25-1125,"History Teachers, Postsecondary",19860.0,81500.0,2.560455595437673,1.43749
25-1051,"Atmospheric, Earth, Marine, and Space Sciences Teachers, Postsecondary",11480.0,101390.0,2.5593419417764314,1.306156
27-1022,Fashion Designers,20910.0,80690.0,2.55917259138059,0.5801539
27-3011,Broadcast Announcers and Radio Disc Jockeys,23880.0,45680.0,2.5584512783780347,0.8493547
25-4012,Curators,12280.0,61770.0,2.558346633911569,0.7366658
25-1071,"Health Specialties Teachers, Postsecondary",229720.0,105620.0,2.5573311888784165,0.924754
43-4161,"Human Resources Assistants, Except Payroll and Timekeeping",92580.0,49440.0,2.557321518710567,1.353098
19-1032,Foresters,9650.0,70660.0,2.5570928239491484,-0.184381
33-9099,"Protective Service Workers, All Other",83110.0,41600.0,2.5549396113757616,0.0764088
25-1067,"Sociology Teachers, Postsecondary",12380.0,82540.0,2.5532803279345013,1.349229
29-1216,General Internal Medicine Physicians,66640.0,236350.0,2.5523951981216086,
29-9092,Genetic Counselors,3510.0,98910.0,2.5494875576035114,1.527667
43-4051,Customer Service Representatives,2725930.0,42830.0,2.549456496522041,0.9562519
29-1081,Podiatrists,9520.0,152800.0,2.548529154028338,0.6279185
13-2081,"Tax Examiners and Collectors, and Revenue Agents",53530.0,59740.0,2.5449091008347637,1.36682
41-1011,First-Line Supervisors of Retail Sales Workers,1113160.0,47320.0,2.5446816190282546,0.0191826
41-3011,Advertising Sales Agents,97470.0,61460.0,2.544426031893074,1.162588
31-2012,Occupational Therapy Aides,5000.0,37370.0,2.5430882603243714,-0.7734322
43-4041,"Credit Authorizers, Checkers, and Clerks",11960.0,49130.0,2.5415132802712987,1.440296
29-1128,Exercise Physiologists,8110.0,58160.0,2.54041553667295,-0.0331901
17-2061,Computer Hardware Engineers,75710.0,155020.0,2.5379999565997355,1.141812
15-1221,Computer and Information Research Scientists,38480.0,140910.0,2.536607551564726,
39-1022,First-Line Supervisors of Personal Service Workers,107060.0,47080.0,2.5345308219247933,
47-2211,Sheet Metal Workers,117470.0,60850.0,2.5329276699399284,-1.174972
13-2072,Loan Officers,290530.0,74180.0,2.5320641564019746,1.385739
17-2021,Agricultural Engineers,1680.0,84630.0,2.531814566236322,0.9409636
17-2031,Bioengineers and Biomedical Engineers,21860.0,106950.0,2.531484531654902,0.9874239
43-6013,Medical Secretaries and Administrative Assistants,830760.0,44640.0,2.5310359782021896,1.217982
29-1071,Physician Assistants,155540.0,133260.0,2.5307263021176705,0.1059147
19-2021,Atmospheric and Space Scientists,8780.0,97450.0,2.529852584119956,1.373917
13-1031,"Claims Adjusters, Examiners, and Investigators",305020.0,76790.0,2.528639614150496,1.274024
29-2091,Orthotists and Prosthetists,9930.0,78310.0,2.5286169588510403,0.066577
