soc_code,title,spec_score,spec_residual,complexity_pc1,aioe_score,emp_2005,wage_2005,emp_2009,wage_2009,emp_2014,wage_2014,emp_2019,wage_2019,emp_2024,wage_2024,emp_growth,emp_cagr,real_wage_2005,real_wage_2009,real_wage_2014,real_wage_2019,real_wage_2024,real_wage_growth,spec_tercile,aioe_tercile,emp_growth_w
17-1012,Landscape architects,2.604850516280614,0.1097726063253397,4.934039505175718,1.034388,20220.0,54220.0,18940.0,60560.0,18110.0,64570.0,20280.0,69360.0,19580.0,79660.0,-0.03165182987141444,-0.0016913878039572783,86951.88940092166,88426.06993006992,85438.63117870722,84957.18420023465,79660.0,-0.08386119555493372,Specification,High AI,-0.03165182987141444
17-1021,Cartographers and photogrammetrists,2.148465624606585,-0.06607326955395587,2.0989001570426367,0.8169979,11260.0,48250.0,11750.0,53050.0,11610.0,60930.0,11300.0,65470.0,12790.0,78380.0,0.13587921847246892,0.006728164287115979,77377.88018433179,77460.41958041958,80622.20532319392,80192.42862729762,78380.0,0.0129509856470729,Middle,High AI,0.13587921847246892
17-1022,Surveyors,2.226872915240588,-0.05554154767323416,2.784853571415999,0.1460606,54220.0,45860.0,50360.0,54180.0,41970.0,57050.0,45220.0,63420.0,53080.0,72740.0,-0.02102545186278126,-0.0011177766431669234,73545.06912442396,79110.37762237762,75488.21292775666,77681.43918654673,72740.0,-0.010946609120210855,Middle,Medium AI,-0.02102545186278126
17-2011,Aerospace engineers,2.204090551586454,-0.0703820147974974,2.7045924238289096,1.338738,81100.0,84090.0,70570.0,94780.0,69080.0,105380.0,63200.0,116500.0,68440.0,134830.0,-0.1561035758323058,-0.008893141683065098,134854.00921658985,138392.05594405593,139438.17490494298,142697.69260852563,134830.0,-0.0001780385820883665,Middle,High AI,-0.1561035758323058
17-2021,Agricultural engineers,2.278339599099602,-0.11879262470550778,3.944196192303304,0.9409636,3170.0,64890.0,2620.0,69560.0,2450.0,71730.0,1550.0,80720.0,1680.0,84630.0,-0.47003154574132494,-0.03286557294567982,104063.2258064516,101567.32867132867,94912.69961977187,98871.7403206883,84630.0,-0.18674441096603797,Specification,High AI,-0.47003154574132494
17-2031,Biomedical engineers,2.303780715356366,-0.03502570390704696,3.3547531053970707,0.9874239,11660.0,71840.0,14760.0,78860.0,20080.0,86950.0,19780.0,91410.0,21860.0,106950.0,0.8747855917667239,0.03363182856723701,115208.84792626728,115146.62937062937,115051.71102661597,111965.6315995307,106950.0,-0.07168588242070498,Specification,High AI,0.8747855917667239
17-2041,Chemical engineers,2.344616583794702,-0.012210442063360638,3.5368701299720096,1.341336,27550.0,77140.0,29000.0,88280.0,33470.0,96940.0,30120.0,108770.0,20330.0,121860.0,-0.2620689655172414,-0.01586775452840028,123708.38709677418,128901.14685314684,128270.41825095056,133229.4251075479,121860.0,-0.014941485699981136,Specification,High AI,-0.2620689655172414
17-2051,Civil engineers,2.5602469623443302,0.09735270668523599,4.6087901119555745,1.282867,229700.0,66190.0,259320.0,76590.0,263460.0,82050.0,310850.0,87060.0,355410.0,99590.0,0.5472790596430126,0.023239501052308986,106148.01843317972,111832.11188811189,108568.0608365019,106637.43449354713,99590.0,-0.06178182626468905,Specification,High AI,0.5472790596430126
17-2061,Computer hardware engineers,2.3247580725707917,-0.008035781380574036,3.293989861998951,1.141812,78580.0,84420.0,65410.0,98820.0,76360.0,108430.0,67880.0,117220.0,75710.0,155020.0,-0.036523288368541615,-0.001956345016279726,135383.2258064516,144291.02097902098,143473.91634980988,143579.60109503326,155020.0,0.1450458435790397,Specification,High AI,-0.036523288368541615
17-2071,Electrical engineers,2.371666079500608,-0.05253373225413149,4.217742399192396,1.126725,144920.0,73510.0,151660.0,83110.0,174550.0,91410.0,185570.0,98530.0,188790.0,111910.0,0.30271874137455146,0.014015915760527076,117887.00460829493,121352.22377622378,120953.15589353612,120686.72663277278,111910.0,-0.05070113222534424,Specification,High AI,0.30271874137455146
17-2072,"Electronics engineers, except computer",2.1233766485920715,-0.006582596677764396,1.244134591041033,0.6654578,130050.0,78030.0,135990.0,89310.0,133990.0,95790.0,128800.0,105570.0,93940.0,127590.0,-0.2776624375240292,-0.016973391042131025,125135.66820276497,130405.0909090909,126748.74524714828,129309.83183418067,127590.0,0.019613367095767855,Middle,Medium AI,-0.2776624375240292
17-2081,Environmental engineers,2.5381870730886034,0.06189651177909106,4.744173752486018,1.343561,50140.0,68090.0,50610.0,77040.0,53240.0,83360.0,53150.0,88860.0,37950.0,104170.0,-0.24311926605504589,-0.014553562725148628,109195.02304147465,112489.17482517482,110301.44486692015,108842.20570981619,104170.0,-0.04601879189645882,Specification,High AI,-0.24311926605504589
17-2111,"Health and safety engineers, except mining safety engineers and inspectors",2.4060693834714417,-0.00824872736640625,4.117877505118407,0.9948935,25330.0,65210.0,24070.0,74080.0,24530.0,81830.0,25860.0,91410.0,23220.0,109660.0,-0.0833004342676668,-0.004567195745875163,104576.40552995392,108167.16083916083,108276.95817490494,111965.6315995307,109660.0,0.04861129472068136,Specification,High AI,-0.0833004342676668
17-2112,Industrial engineers,2.190114257861029,-0.05078633652737308,2.3653126322841675,1.13787,191640.0,66670.0,209300.0,75110.0,236990.0,81490.0,291710.0,88020.0,350230.0,101140.0,0.8275412231266959,0.03224427589649825,106917.78801843317,109671.10489510489,107827.072243346,107813.3124755573,101140.0,-0.05403953940234017,Middle,High AI,0.8275412231266959
17-2121,Marine engineers and naval architects,2.08926279298883,-0.01643370050510473,0.9989341790449512,0.5472173,6550.0,72920.0,5270.0,74330.0,7570.0,92930.0,11360.0,92400.0,8440.0,105670.0,0.2885496183206107,0.013432428882926617,116940.82949308756,108532.1958041958,122964.41064638783,113178.25576847869,105670.0,-0.09638061865940314,Middle,Medium AI,0.2885496183206107
