soc_code,Active Learning,Active Listening,Complex Problem Solving,Coordination,Critical Thinking,Equipment Maintenance,Equipment Selection,Installation,Instructing,Judgment and Decision Making,Learning Strategies,Management of Financial Resources,Management of Material Resources,Management of Personnel Resources,Mathematics,Monitoring,Negotiation,Operation and Control,Operations Analysis,Operations Monitoring,Persuasion,Programming,Quality Control Analysis,Reading Comprehension,Repairing,Science,Service Orientation,Social Perceptiveness,Speaking,Systems Analysis,Systems Evaluation,Technology Design,Time Management,Troubleshooting,Writing
47-2181,2.62,3.12,2.88,3.62,3.12,1.88,2.0,1.75,2.5,2.75,2.12,1.88,2.0,2.12,2.25,3.0,2.0,3.0,1.75,3.0,2.25,1.0,2.38,2.75,1.75,1.25,2.38,2.75,3.0,2.0,2.0,1.75,3.0,2.12,2.0
47-2211,2.88,3.0,2.88,3.12,3.12,2.88,2.62,2.62,2.88,3.0,2.5,1.5,1.75,2.62,3.0,3.12,2.12,2.88,2.12,2.88,2.12,1.38,2.75,3.12,2.88,1.62,2.25,2.5,3.0,2.38,2.25,1.75,3.0,2.88,2.25
47-2221,3.0,3.12,3.0,3.62,3.12,2.25,2.12,1.75,2.88,3.0,2.88,1.75,2.0,2.88,2.12,3.0,2.12,3.62,2.0,3.62,2.38,1.0,3.0,2.75,2.25,1.12,2.75,2.88,3.0,2.0,2.0,2.0,3.0,2.5,2.25
47-2231,3.0,3.12,3.0,3.0,3.25,2.62,2.75,3.38,2.62,3.12,2.62,2.0,2.25,2.62,2.62,3.12,2.25,2.62,1.88,3.12,2.62,1.5,3.12,3.0,2.62,1.88,2.5,2.75,2.88,2.75,2.75,1.88,3.0,3.0,2.25
47-3011,2.38,2.88,2.62,3.0,3.0,2.38,2.38,1.25,2.5,2.88,2.25,1.62,1.88,1.88,2.25,3.0,1.88,3.0,1.88,2.75,1.88,1.0,2.5,2.38,2.25,1.25,2.0,2.75,2.75,2.0,2.0,1.88,3.0,2.75,2.0
47-3012,2.88,3.0,3.0,3.0,3.0,2.38,2.88,2.25,2.38,2.88,2.12,1.88,2.0,2.0,2.38,3.0,2.12,2.25,1.62,2.88,2.25,1.0,2.38,2.88,2.62,1.0,2.25,3.0,3.0,2.0,2.0,1.88,2.88,2.25,2.25
47-3013,2.88,3.25,2.88,3.0,3.12,2.75,2.75,2.88,2.25,3.0,2.25,1.5,2.0,2.0,2.12,2.75,2.0,2.62,1.62,2.88,2.12,1.25,3.0,2.5,2.88,1.88,2.25,2.5,3.12,2.0,2.0,1.25,2.75,3.0,2.38
47-3014,2.38,2.88,2.38,3.0,2.75,2.5,2.25,1.12,2.25,2.5,2.25,1.0,1.12,2.12,1.12,2.75,2.25,2.12,1.0,2.62,2.25,1.0,2.62,2.12,2.5,1.12,2.5,2.62,3.0,2.0,1.88,1.0,2.75,2.5,2.0
47-3015,2.62,2.88,2.62,2.75,2.88,2.12,2.38,2.0,2.0,2.88,2.0,1.62,2.12,1.88,2.25,2.88,2.0,2.38,1.25,2.25,2.0,1.0,2.12,2.38,2.62,1.12,2.38,2.5,2.5,1.88,1.75,1.62,2.5,2.38,2.0
47-3016,2.62,3.0,2.62,3.25,2.88,2.75,2.62,1.75,2.38,2.75,2.25,1.62,2.0,2.25,2.25,3.0,2.12,2.0,1.0,2.38,2.0,1.38,2.88,2.38,2.25,1.0,2.62,2.62,2.88,2.25,2.12,1.62,2.62,2.38,2.25
47-4011,3.12,3.75,3.315,2.94,3.815,1.25,1.5,1.25,2.94,3.5,3.0,1.625,1.88,2.69,3.19,3.19,2.94,2.25,2.44,2.875,3.06,1.56,2.94,3.94,1.125,2.625,2.81,2.94,3.815,3.06,3.185,1.875,3.125,2.065,3.37
47-4021,3.12,3.38,3.38,3.0,3.62,4.0,3.38,3.5,2.25,3.38,2.38,1.62,1.75,2.12,2.25,3.12,2.0,3.25,1.62,3.62,2.38,1.38,3.5,3.12,4.0,1.88,2.5,2.62,3.0,3.12,3.0,1.88,3.0,4.0,2.75
47-4031,2.25,3.0,2.62,3.0,3.0,2.12,2.62,1.12,2.25,2.88,2.25,1.75,2.0,2.25,2.25,3.0,2.0,2.88,1.75,2.88,2.0,1.0,2.62,2.5,2.0,1.12,2.25,2.62,3.0,2.12,2.0,1.5,3.0,2.0,2.0
47-4041,3.0,3.25,3.0,3.0,3.5,2.62,2.62,1.62,2.88,3.0,2.5,1.88,2.0,2.62,2.0,3.62,2.75,3.38,1.75,3.25,2.88,1.25,3.0,3.12,2.25,2.0,2.88,3.0,3.12,2.75,2.12,1.5,3.0,2.88,3.0
47-4051,2.38,3.0,3.0,3.12,2.88,2.5,1.88,1.38,2.38,2.88,2.0,1.62,1.62,2.12,2.12,3.12,2.38,3.62,1.12,3.5,2.5,1.12,2.88,2.75,2.38,1.0,2.38,2.88,3.0,2.0,2.0,1.62,2.75,2.88,2.12
47-4061,2.62,3.0,2.88,3.12,3.12,3.25,2.62,1.5,2.38,3.0,2.5,1.75,1.88,2.5,2.25,3.12,1.88,3.75,1.75,3.75,2.12,1.0,3.12,2.38,3.12,1.25,2.25,2.75,2.88,2.12,2.12,1.75,3.0,3.25,2.25
47-4071,2.75,3.0,2.88,2.88,3.12,3.0,2.62,2.0,2.5,2.75,2.62,2.0,2.0,2.38,2.38,2.88,2.38,3.88,1.5,3.62,2.38,1.0,3.0,2.75,3.0,1.25,2.75,2.75,2.75,2.12,2.25,1.88,3.0,3.0,2.5
